Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
1584,cip-na,cipna,p-n,cipna,,,0.0,,,cip,na,cipna,585660,high,train,cimna,no,,,1.0,,,cakna,no
1585,cip-ta,cipta,p-t,cipta,,,,,0.0,cip,ta,cipta,585660,high,train,cipda,no,,,,,1.0,cvkna,no
1586,cip-v,cipv,p-v,cipv,,,,,0.0,cip,v,cipv,585660,high,train,cipv,yes,,,,,0.0,cvkv,yes
1587,Jalp-na,Jalpna,lp-n,Jalpna,0.0,0.0,0.0,0.0,,Jalp,na,Jalpna,585660,high,train,Jalmna,no,1.0,0.0,1.0,0.0,,cvkda,yes
1588,Jalp-a,Jalpa,lp-a,Jalpa,0.0,0.0,,,0.0,Jalp,a,Jalpa,585660,high,train,Jalpa,yes,0.0,0.0,,0.0,0.0,cvpv,yes
1589,Jalp-ta,Jalpda,lp-t,Jalpda,0.0,0.0,,,1.0,Jalp,ta,Jalpda,585660,high,train,Jalpda,yes,0.0,0.0,,0.0,1.0,cvpna,no
1590,Jik-na,JiNna,k-n,JiNna,,,1.0,,,Jik,na,JiNna,585660,low,train,JiNna,yes,,,1.0,,,cvpda,yes
1591,Jik-v,Jikv,k-v,Jikv,,,,,0.0,Jik,v,Jikv,585660,low,train,Jikv,yes,,,,,0.0,cikv,yes
1592,Jik-ta,Jikta,k-t,Jikta,,,,,0.0,Jik,ta,Jikta,585660,low,train,Jikda,no,,,,,1.0,cikda,yes
1593,Cak-a,Caka,k-a,Caka,,,,,0.0,Cak,a,Caka,585660,nonce,train,Caka,yes,,,,,0.0,cikna,no
1594,Cak-ta,Cakta,k-t,Cakta,,,,,0.0,Cak,ta,Cakta,585660,nonce,train,Cakda,no,,,,,1.0,cilda,no
1595,Cak-na,CaNna,k-n,CaNna,,,1.0,,,Cak,na,CaNna,585660,nonce,train,CaNna,yes,,,1.0,,,cilkna,yes
1596,Top-ta,Topda,p-t,Topda,,,,,1.0,Top,ta,Topda,585660,nonce,train,Topda,yes,,,,,1.0,cilkv,yes
1597,Top-na,Topna,p-n,Topna,,,0.0,,,Top,na,Topna,585660,nonce,train,Tomna,no,,,1.0,,,cipna,no
1598,Top-a,Topa,p-a,Topa,,,,,0.0,Top,a,Topa,585660,nonce,train,Topa,yes,,,,,0.0,cipda,yes
1599,halT-a,halTa,lT-a,halTa,0.0,0.0,,,0.0,halT,a,halTa,585660,low,train,halTa,yes,0.0,0.0,,0.0,0.0,cipv,yes
1600,halT-na,halTna,lT-n,halTna,0.0,0.0,0.0,0.0,,halT,na,halTna,585660,low,train,halna,no,1.0,0.0,0.0,0.0,,Jalpa,yes
1601,halT-ta,halda,lT-t,halda,1.0,0.0,,,1.0,halT,ta,halda,585660,low,train,halda,yes,1.0,0.0,,0.0,1.0,Jalpna,no
1602,hulT-v,hulTv,lT-v,hulTv,0.0,0.0,,,0.0,hulT,v,hulTv,585660,low,train,hulTv,yes,0.0,0.0,,0.0,0.0,Jalda,no
1603,hulT-na,hulTna,lT-n,hulTna,0.0,0.0,0.0,0.0,,hulT,na,hulTna,585660,low,train,hulna,no,1.0,0.0,0.0,0.0,,Jikna,no
1604,kalk-a,kalka,lk-a,kalka,0.0,0.0,,,0.0,kalk,a,kalka,589028,low,train,kalka,yes,0.0,0.0,,0.0,0.0,Jikda,yes
1605,kalk-na,kaNna,lk-n,kaNna,0.0,1.0,1.0,0.0,,kalk,na,kaNna,589028,low,train,kalkna,no,0.0,0.0,0.0,0.0,,Jikv,yes
1606,kalk-ta,kakda,lk-t,kakda,0.0,1.0,,,1.0,kalk,ta,kakda,589028,low,train,kalda,no,1.0,0.0,,0.0,1.0,Cakna,no
1607,kvP-v,kvPv,P-v,kvPv,,,,,0.0,kvP,v,kvPv,589028,nonce,train,kvPv,yes,,,,,0.0,Cakda,yes
1608,kvP-ta,kvpda,P-t,kvpda,,,,,1.0,kvP,ta,kvpda,589028,nonce,train,kvpda,yes,,,,,1.0,Caka,yes
1609,kvP-na,kvmna,P-n,kvmna,,,1.0,,,kvP,na,kvmna,589028,nonce,train,kvmna,yes,,,1.0,,,topna,no
1610,kjvlp-v,kyvlpv,lp-v,kyvlpv,0.0,0.0,,,0.0,kjvlp,v,kyvlpv,589028,nonce,train,kyvlpv,yes,1.0,0.0,,0.0,0.0,topa,no
1611,kjvlp-ta,kyvpda,lp-t,kyvpda,0.0,1.0,,,1.0,kjvlp,ta,kyvpda,589028,nonce,train,kyvlpda,no,1.0,0.0,,0.0,1.0,topda,no
1612,kjvlp-na,kyvmna,lp-n,kyvmna,0.0,1.0,1.0,0.0,,kjvlp,na,kyvmna,589028,nonce,train,kyvlmna,no,1.0,0.0,1.0,0.0,,halga,no
1613,kulk-na,kuNna,lk-n,kuNna,0.0,1.0,1.0,0.0,,kulk,na,kuNna,589028,high,train,kuNna,yes,1.0,1.0,1.0,0.0,,halda,yes
1614,kulk-v,kulkv,lk-v,kulkv,0.0,0.0,,,0.0,kulk,v,kulkv,589028,high,train,kulkv,yes,0.0,0.0,,0.0,0.0,halpna,no
1615,kulk-ta,kukda,lk-t,kukda,0.0,1.0,,,1.0,kulk,ta,kukda,589028,high,train,kulda,no,1.0,0.0,,0.0,1.0,hulda,no
1616,kxlk-ta,kxkda,lk-t,kxkda,0.0,1.0,,,1.0,kxlk,ta,kxkda,589028,low,train,kxlkda,no,0.0,0.0,,0.0,1.0,hulpna,no
1617,kxlk-na,kxNna,lk-n,kxNna,0.0,1.0,1.0,0.0,,kxlk,na,kxNna,589028,low,train,kxNna,yes,1.0,1.0,1.0,0.0,,hulkv,no
1618,kxlk-v,kxlkv,lk-v,kxlkv,0.0,0.0,,,0.0,kxlk,v,kxlkv,589028,low,train,kxlkv,yes,0.0,0.0,,0.0,0.0,kalna,no
1619,kxlP-na,kxmna,lP-n,kxmna,0.0,1.0,1.0,0.0,,kxlP,na,kxmna,589028,nonce,train,kxlmna,no,1.0,0.0,1.0,0.0,,kalda,yes
1620,kxlP-ta,kxpda,lP-t,kxpda,0.0,1.0,,,1.0,kxlP,ta,kxpda,589028,nonce,train,kxlPda,no,0.0,0.0,,0.0,1.0,kalga,no
1621,kxlP-v,kxlPv,lP-v,kxlPv,0.0,0.0,,,0.0,kxlP,v,kxlPv,589028,nonce,train,kxlPv,yes,0.0,0.0,,0.0,0.0,kvpna,no
1622,nalk-na,naNna,lk-n,naNna,0.0,1.0,1.0,0.0,,nalk,na,naNna,589028,high,train,naNna,yes,1.0,1.0,1.0,0.0,,kvpda,no
1623,nalk-ta,nakda,lk-t,nakda,0.0,1.0,,,1.0,nalk,ta,nakda,589028,high,train,nalkda,no,0.0,0.0,,0.0,1.0,kvlpna,no
1624,nalk-a,nalka,lk-a,nalka,0.0,0.0,,,0.0,nalk,a,nalka,589028,high,train,nalka,yes,0.0,0.0,,0.0,0.0,kilvpda,no
1625,nalp-na,namna,lp-n,namna,0.0,1.0,1.0,0.0,,nalp,na,namna,589028,nonce,train,nalmna,no,1.0,0.0,1.0,0.0,,kulda,yes
1626,nalp-a,nalpa,lp-a,nalpa,0.0,0.0,,,0.0,nalp,a,nalpa,589028,nonce,train,nalpa,yes,0.0,0.0,,0.0,0.0,kulna,yes
1627,nalp-ta,nalda,lp-t,nalda,1.0,0.0,,,1.0,nalp,ta,nalda,589028,nonce,train,nalpda,no,0.0,0.0,,0.0,1.0,kulkv,yes
1628,neT-ta,netda,T-t,netda,,,,,1.0,neT,ta,netda,589028,nonce,train,netda,yes,,,,,1.0,kxNna,no
1629,neT-v,neTv,T-v,neTv,,,,,0.0,neT,v,neTv,589028,nonce,train,neTv,yes,,,,,0.0,kxlkv,yes
1630,neT-na,nenna,T-n,nenna,,,1.0,,,neT,na,nenna,589028,nonce,train,nenna,yes,,,1.0,,,kxlda,no
1631,nvlp-v,nvlpv,lp-v,nvlpv,0.0,0.0,,,0.0,nvlp,v,nvlpv,589028,high,train,nvlpv,yes,0.0,0.0,,0.0,0.0,kxlda,yes
1632,nvlp-na,nvlla,lp-n,nvlla,1.0,0.0,0.0,1.0,,nvlp,na,nvlla,589028,high,train,,no,1.0,1.0,0.0,0.0,,kxlpv,no
1633,nvlp-ta,nvlda,lp-t,nvlda,1.0,0.0,,,1.0,nvlp,ta,nvlda,589028,high,train,nvlda,yes,1.0,0.0,,0.0,1.0,kxlpna,no
1634,nuk-ta,nukda,k-t,nukda,,,,,1.0,nuk,ta,nukda,589028,nonce,train,nukda,yes,,,,,1.0,nalga,no
1635,nuk-v,nukv,k-v,nukv,,,,,0.0,nuk,v,nukv,589028,nonce,train,nukv,yes,,,,,0.0,nalda,yes
1636,nuk-na,nuNna,k-n,nuNna,,,1.0,,,nuk,na,nuNna,589028,nonce,train,nuNna,yes,,,1.0,,,nalnka,no
1637,nxlk-ta,nxkda,lk-t,nxkda,0.0,1.0,,,1.0,nxlk,ta,nxkda,589028,high,train,,no,1.0,1.0,,0.0,0.0,nalpa,yes
1638,nxlk-na,nxNna,lk-n,nxNna,0.0,1.0,1.0,0.0,,nxlk,na,nxNna,589028,high,train,nxNna,yes,1.0,1.0,1.0,0.0,,nalpna,no
1639,nxlk-v,nxlkv,lk-v,nxlkv,0.0,0.0,,,0.0,nxlk,v,nxlkv,589028,high,train,nxlkv,yes,0.0,0.0,,0.0,0.0,nalda,no
1640,tvlp-ta,tvpda,lp-t,tvpda,0.0,1.0,,,1.0,tvlp,ta,tvpda,589028,nonce,train,tvlpda,no,0.0,0.0,,0.0,1.0,netda,no
1641,tvlp-v,tvlpv,lp-v,tvlpv,0.0,0.0,,,0.0,tvlp,v,tvlpv,589028,nonce,train,tvlpv,yes,0.0,0.0,,0.0,0.0,netda,no
1642,tvlp-na,tvmna,lp-n,tvmna,0.0,1.0,1.0,0.0,,tvlp,na,tvmna,589028,nonce,train,tvlmna,no,1.0,0.0,1.0,0.0,,netgv,no
1643,tok-ta,tokda,k-t,tokda,,,,,1.0,tok,ta,tokda,589028,nonce,train,tokda,yes,,,,,1.0,nvlpna,no
1644,tok-na,toNna,k-n,toNna,,,1.0,,,tok,na,toNna,589028,nonce,train,toNna,yes,,,1.0,,,nvlpv,yes
1645,tok-a,toka,k-a,toka,,,,,0.0,tok,a,toka,589028,nonce,train,toka,yes,,,,,0.0,nvlda,yes
1646,tup-v,tupv,p-v,tupv,,,,,0.0,tup,v,tupv,589028,nonce,train,tupv,yes,,,,,0.0,nukv,yes
1647,tup-na,tumna,p-n,tumna,,,1.0,,,tup,na,tumna,589028,nonce,train,tumna,yes,,,1.0,,,nukda,no
1648,tup-ta,tupda,p-t,tupda,,,,,1.0,tup,ta,tupda,589028,nonce,train,tupda,yes,,,,,1.0,nukna,yes
1649,txlk-v,txlkv,lk-v,txlkv,0.0,0.0,,,0.0,txlk,v,txlkv,589028,nonce,train,txlkv,yes,0.0,0.0,,0.0,0.0,nxlda,no
1650,txlk-ta,txkda,lk-t,txkda,0.0,1.0,,,1.0,txlk,ta,txkda,589028,nonce,train,txkda,yes,1.0,1.0,,0.0,1.0,nxNna,no
1651,txlk-na,txNna,lk-n,txNna,0.0,1.0,1.0,0.0,,txlk,na,txNna,589028,nonce,train,txNna,yes,1.0,1.0,1.0,0.0,,nxlkv,yes
1652,dvlp-ta,dvlda,lp-t,dvlda,1.0,0.0,,,1.0,dvlp,ta,dvlda,589028,low,train,dvlpda,no,0.0,0.0,,0.0,1.0,tvlda,no
1653,dvlp-na,dvlla,lp-n,dvlla,1.0,0.0,0.0,1.0,,dvlp,na,dvlla,589028,low,train,dvlpna,no,0.0,0.0,0.0,0.0,,tvlpv,yes
1654,dvlp-v,dvlpv,lp-v,dvlpv,0.0,0.0,,,0.0,dvlp,v,dvlpv,589028,low,train,dvlpv,yes,0.0,0.0,,0.0,1.0,tvlpna,no
1655,mak-na,maNna,k-n,maNna,,,1.0,,,mak,na,maNna,589028,high,train,maNna,yes,,,1.0,,,tokga,no
1656,mak-ta,makda,k-t,makda,,,,,1.0,mak,ta,makda,589028,high,train,makda,yes,,,,,1.0,tokda,no
1657,mak-a,maka,k-a,maka,,,,,0.0,mak,a,maka,589028,high,train,maka,yes,,,,,0.0,toNna,no
1658,malk-a,malka,lk-a,malka,0.0,0.0,,,0.0,malk,a,malka,589028,high,train,malka,yes,0.0,0.0,,0.0,0.0,tupv,yes
1659,malk-na,maNna,lk-n,maNna,0.0,1.0,1.0,0.0,,malk,na,maNna,589028,high,train,malna,no,1.0,0.0,0.0,0.0,,tupda,no
1660,malk-ta,makda,lk-t,makda,0.0,1.0,,,1.0,malk,ta,makda,589028,high,train,malkda,no,0.0,0.0,,0.0,1.0,tupna,yes
1661,mvlk-na,mvNna,lk-n,mvNna,0.0,1.0,1.0,0.0,,mvlk,na,mvNna,589028,nonce,train,mvNna,yes,1.0,1.0,1.0,0.0,,txlkv,yes
1662,mvlk-ta,mvkda,lk-t,mvkda,0.0,1.0,,,1.0,mvlk,ta,mvkda,589028,nonce,train,mvlda,no,1.0,0.0,,0.0,1.0,txlkda,no
1663,mvlk-v,mvlkv,lk-v,mvlkv,0.0,0.0,,,0.0,mvlk,v,mvlkv,589028,nonce,train,mvlkv,yes,0.0,0.0,,0.0,0.0,txNna,no
1664,muk-na,muNna,k-n,muNna,,,1.0,,,muk,na,muNna,589028,low,train,muNna,yes,,,1.0,,,dvlda,yes
1665,muk-ta,mukda,k-t,mukda,,,,,1.0,muk,ta,mukda,589028,low,train,mukda,yes,,,,,1.0,dvlpna,yes
1666,muk-v,mukv,k-v,mukv,,,,,0.0,muk,v,mukv,589028,low,train,mukv,yes,,,,,0.0,dvlpv,yes
1667,mulk-ta,mukda,lk-t,mukda,0.0,1.0,,,1.0,mulk,ta,mukda,589028,low,train,mulda,no,1.0,0.0,,0.0,1.0,makda,no
1668,mulk-na,muNna,lk-n,muNna,0.0,1.0,1.0,0.0,,mulk,na,muNna,589028,low,train,muNna,yes,1.0,1.0,1.0,0.0,,maka,yes
1669,mulk-v,mulkv,lk-v,mulkv,0.0,0.0,,,0.0,mulk,v,mulkv,589028,low,train,mulkv,yes,0.0,0.0,,0.0,0.0,maNna,no
1670,pak-a,paka,k-a,paka,,,,,0.0,pak,a,paka,589028,high,train,paka,yes,,,,,0.0,malkda,no
1671,pak-ta,pakda,k-t,pakda,,,,,1.0,pak,ta,pakda,589028,high,train,pakda,yes,,,,,1.0,malnka,no
1672,pak-na,paNna,k-n,paNna,,,1.0,,,pak,na,paNna,589028,high,train,paNna,yes,,,1.0,,,malga,no
1673,palk-a,palka,lk-a,palka,0.0,0.0,,,0.0,palk,a,palka,589028,high,train,palka,yes,0.0,0.0,,0.0,0.0,mvkna,no
1674,palk-na,paNna,lk-n,paNna,0.0,1.0,1.0,0.0,,palk,na,paNna,589028,high,train,paNna,yes,1.0,1.0,1.0,0.0,,mvlkv,yes
1675,palk-ta,pakda,lk-t,pakda,0.0,1.0,,,1.0,palk,ta,pakda,589028,high,train,palda,no,1.0,0.0,,0.0,1.0,mvlkda,no
1676,palp-ta,papda,lp-t,papda,0.0,1.0,,,1.0,palp,ta,papda,589028,high,train,palpda,no,0.0,0.0,,0.0,1.0,mukda,no
1677,palp-a,palpa,lp-a,palpa,0.0,0.0,,,0.0,palp,a,palpa,589028,high,train,palpa,yes,0.0,0.0,,0.0,0.0,mukv,yes
1678,palp-na,pamna,lp-n,pamna,0.0,1.0,1.0,0.0,,palp,na,pamna,589028,high,train,palmna,no,1.0,0.0,1.0,0.0,,mukna,yes
1679,peT-ta,petda,T-t,petda,,,,,1.0,peT,ta,petda,589028,low,train,petda,yes,,,,,1.0,mukna,no
1680,peT-na,penna,T-n,penna,,,1.0,,,peT,na,penna,589028,low,train,penna,yes,,,1.0,,,mulkv,yes
1681,peT-v,peTv,T-v,peTv,,,,,0.0,peT,v,peTv,589028,low,train,peTv,yes,,,,,0.0,mulkda,no
1682,kvp-ta,pvpda,p-t,pvpda,,,,,1.0,kvp,ta,pvpda,589028,nonce,train,pvpda,yes,,,,,1.0,paka,yes
1683,kvp-na,pvmna,p-n,pvmna,,,1.0,,,kvp,na,pvmna,589028,nonce,train,pvmna,yes,,,1.0,,,pakda,no
1684,kvp-v,pvpv,p-v,pvpv,,,,,0.0,kvp,v,pvpv,589028,nonce,train,pvpv,yes,,,,,0.0,panka,no
1685,pulk-ta,pukda,lk-t,pukda,0.0,1.0,,,1.0,pulk,ta,pukda,589028,high,train,pulda,no,1.0,0.0,,0.0,1.0,palda,no
1686,pulk-v,pulkv,lk-v,pulkv,0.0,0.0,,,0.0,pulk,v,pulkv,589028,high,train,pulkv,yes,0.0,0.0,,0.0,0.0,palkna,yes
1687,pulk-na,puNna,lk-n,puNna,0.0,1.0,1.0,0.0,,pulk,na,puNna,589028,high,train,pukna,no,1.0,1.0,0.0,0.0,,palka,yes
1688,pulT-na,pulla,lT-n,pulla,1.0,0.0,0.0,1.0,,pulT,na,pulla,589028,nonce,train,pulna,no,1.0,0.0,0.0,0.0,,palpna,yes
1689,pulT-ta,pulTda,lT-t,pulTda,0.0,0.0,,,1.0,pulT,ta,pulTda,589028,nonce,train,pulda,no,1.0,0.0,,0.0,1.0,palda,no
1690,pulT-v,pulTv,lT-v,pulTv,0.0,0.0,,,0.0,pulT,v,pulTv,589028,nonce,train,pulTv,yes,0.0,0.0,,0.0,0.0,palpa,yes
1691,bop-na,bomna,p-n,bomna,,,1.0,,,bop,na,bomna,589028,high,train,bomna,yes,,,1.0,,,petna,no
1692,bop-a,bopa,p-a,bopa,,,,,0.0,bop,a,bopa,589028,high,train,bopa,yes,,,,,1.0,petdv,no
1693,bop-ta,bopda,p-t,bopda,,,,,1.0,bop,ta,bopda,589028,high,train,bopda,yes,,,,,1.0,petda,no
1694,sok-ta,sokda,k-t,sokda,,,,,1.0,sok,ta,sokda,589028,low,train,sokda,yes,,,,,1.0,kvpna,no
1695,sok-na,soNna,k-n,soNna,,,1.0,,,sok,na,soNna,589028,low,train,soNna,yes,,,1.0,,,kvpda,no
1696,sok-a,soka,k-a,soka,,,,,0.0,sok,a,soka,589028,low,train,soka,yes,,,,,0.0,pulkv,yes
1697,sulk-v,sulkv,lk-v,sulkv,0.0,0.0,,,0.0,sulk,v,sulkv,589028,nonce,train,sulkv,yes,0.0,0.0,,0.0,0.0,pulkna,no
1698,sulk-na,suNna,lk-n,suNna,0.0,1.0,1.0,0.0,,sulk,na,suNna,589028,nonce,train,suNna,yes,1.0,1.0,1.0,0.0,,pulda,no
1699,sulk-ta,sukda,lk-t,sukda,0.0,1.0,,,1.0,sulk,ta,sukda,589028,nonce,train,sulkda,no,0.0,0.0,,0.0,1.0,pulkna,no
1700,sik-na,siNna,k-n,siNna,,,1.0,,,sik,na,siNna,589028,low,train,siNna,yes,,,1.0,,,pulda,yes
1701,sik-ta,sikda,k-t,sikda,,,,,1.0,sik,ta,sikda,589028,low,train,sikda,yes,,,,,1.0,popna,no
1702,sik-v,sikv,k-v,sikv,,,,,0.0,sik,v,sikv,589028,low,train,sikv,yes,,,,,0.0,popda,no
1703,Svk-ta,Svkda,k-t,Svkda,,,,,1.0,Svk,ta,Svkda,589028,high,train,Svkda,yes,,,,,1.0,popapa,no
1704,Svk-v,Svkv,k-v,Svkv,,,,,0.0,Svk,v,Svkv,589028,high,train,Svkv,yes,,,,,0.0,*soNa,no
1705,Svk-na,SvNna,k-n,SvNna,,,1.0,,,Svk,na,SvNna,589028,high,train,SvNna,yes,,,1.0,,,sokga,no
1706,Sip-ta,Sipda,p-t,Sipda,,,,,1.0,Sip,ta,Sipda,589028,high,train,Sipda,yes,,,,,1.0,sokda,no
1707,Sip-v,Sipv,p-v,Sipv,,,,,0.0,Sip,v,Sipv,589028,high,train,Sipv,yes,,,,,0.0,sulkda,no
1708,Sip-na,Simna,p-n,Simna,,,1.0,,,Sip,na,Simna,589028,high,train,Simna,yes,,,1.0,,,sulkv,yes
1709,alk-na,aNna,lk-n,aNna,0.0,1.0,1.0,0.0,,alk,na,aNna,589028,nonce,train,alkna,no,,0.0,0.0,0.0,,*sumna,no
1710,alk-ta,akda,lk-t,akda,0.0,1.0,,,1.0,alk,ta,akda,589028,nonce,train,alkda,no,,0.0,,0.0,1.0,sikda,no
1711,alk-a,alka,lk-a,alka,0.0,0.0,,,0.0,alk,a,alka,589028,nonce,train,alka,yes,,0.0,,0.0,0.0,sikv,yes
1712,yalp-na,yamna,lp-n,yamna,0.0,1.0,1.0,0.0,,yalp,na,yamna,589028,low,train,yalmna,no,1.0,0.0,1.0,0.0,,sikna,yes
1713,yalp-a,yalpa,lp-a,yalpa,0.0,0.0,,,0.0,yalp,a,yalpa,589028,low,train,yalpa,yes,0.0,0.0,,0.0,0.0,svkda,no
1714,yalp-ta,yalda,lp-t,yalda,1.0,0.0,,,1.0,yalp,ta,yalda,589028,low,train,yalpda,no,0.0,0.0,,0.0,1.0,svkgv,no
1715,yaT-ta,yatda,T-t,yatda,,,,,1.0,yaT,ta,yatda,589028,low,train,yatda,yes,,,,,1.0,*svkga,no
1716,yaT-a,yaTa,T-a,yaTa,,,,,0.0,yaT,a,yaTa,589028,low,train,yaTa,yes,,,,,0.0,sipv,no
1717,yaT-na,yanna,T-n,yanna,,,1.0,,,yaT,na,yanna,589028,low,train,yanna,yes,,,1.0,,,sipda,no
1718,vlk-ta,vkda,lk-t,vkda,0.0,1.0,,,1.0,vlk,ta,vkda,589028,low,train,vlkda,no,,0.0,,0.0,1.0,*sipna,no
1719,vlk-na,vNna,lk-n,vNna,0.0,1.0,1.0,0.0,,vlk,na,vNna,589028,low,train,vNna,yes,,1.0,1.0,0.0,,alna,no
1720,vlk-v,vlkv,lk-v,vlkv,0.0,0.0,,,0.0,vlk,v,vlkv,589028,low,train,vlkv,yes,,0.0,,0.0,0.0,alda,yes
1721,vp-v,vpv,p-v,vpv,,,,,0.0,vp,v,vpv,589028,low,train,vpv,yes,,,,,0.0,alga,no
1722,vp-na,vmna,p-n,vmna,,,1.0,,,vp,na,vmna,589028,low,train,vmna,yes,,,1.0,,,yalpa,yes
1723,vp-ta,vpda,p-t,vpda,,,,,1.0,vp,ta,vpda,589028,low,train,vpda,yes,,,,,1.0,yalpna,yes
1724,vP-ta,vpda,P-t,vpda,,,,,1.0,vP,ta,vpda,589028,low,train,vpda,yes,,,,,1.0,yalda,no
1725,vP-v,vPv,P-v,vPv,,,,,0.0,vP,v,vPv,589028,low,train,vPv,yes,,,,,0.0,yaNna,no
1726,vP-na,vmna,P-n,vmna,,,1.0,,,vP,na,vmna,589028,low,train,vmna,yes,,,1.0,,,yatda,yes
1727,yvlp-v,jvlpv,lp-v,jvlpv,0.0,0.0,,,0.0,yvlp,v,jvlpv,589028,low,train,jvlpv,yes,1.0,0.0,,0.0,0.0,vlkna,yes
1728,yvlp-ta,jvpda,lp-t,jvpda,0.0,1.0,,,1.0,yvlp,ta,jvpda,589028,low,train,jvlpda,no,1.0,0.0,,0.0,1.0,vlkv,yes
1729,yvlp-na,jvmna,lp-n,jvmna,0.0,1.0,1.0,0.0,,yvlp,na,jvmna,589028,low,train,jvlpna,no,1.0,0.0,0.0,0.0,,vlda,no
1730,yvT-ta,jvtda,T-t,jvtda,,,,,1.0,yvT,ta,jvtda,589028,low,train,jvtda,yes,,,,,1.0,vpan,no
1731,yvT-v,jvTv,T-v,jvTv,,,,,0.0,yvT,v,jvTv,589028,low,train,jvTv,yes,,,,,0.0,vpv,yes
1732,yvT-na,jvnna,T-n,jvnna,,,1.0,,,yvT,na,jvnna,589028,low,train,jvnna,yes,,,1.0,,,vpda,no
1733,up-na,upna,p-n,upna,,,0.0,,,up,na,upna,589028,nonce,train,umna,no,,,1.0,,,vpda,no
1734,up-v,upv,p-v,upv,,,,,0.0,up,v,upv,589028,nonce,train,upv,yes,,,,,0.0,vpna,yes
1735,up-ta,upda,p-t,upda,,,,,1.0,up,ta,upda,589028,nonce,train,upda,yes,,,,,1.0,vpv,no
1736,xlP-na,xmna,lP-n,xmna,0.0,1.0,1.0,0.0,,xlP,na,xmna,589028,low,train,xPna,no,,1.0,0.0,0.0,,yvlda,no
1737,xlP-v,xlPv,lP-v,xlPv,0.0,0.0,,,0.0,xlP,v,xlPv,589028,low,train,xlPv,yes,,0.0,,0.0,0.0,yvlpna,no
1738,xlP-ta,xpda,lP-t,xpda,0.0,1.0,,,1.0,xlP,ta,xpda,589028,low,train,xlPda,no,,0.0,,0.0,1.0,yvlpv,no
1739,ik-na,iNna,k-n,iNna,,,1.0,,,ik,na,iNna,589028,low,train,iNna,yes,,,1.0,,,yvtda,no
1740,ik-ta,ikda,k-t,ikda,,,,,1.0,ik,ta,ikda,589028,low,train,ikda,yes,,,,,1.0,yvtda,no
1741,ik-v,ikv,k-v,ikv,,,,,0.0,ik,v,ikv,589028,low,train,ikv,yes,,,,,0.0,upda,no
1742,ilk-ta,ikda,lk-t,ikda,0.0,1.0,,,1.0,ilk,ta,ikda,589028,high,train,ikda,yes,,1.0,,0.0,1.0,upv,yes
1743,ilk-v,ilkv,lk-v,ilkv,0.0,0.0,,,0.0,ilk,v,ilkv,589028,high,train,ilkv,yes,,0.0,,0.0,0.0,upna,yes
1744,ilk-na,iNna,lk-n,iNna,0.0,1.0,1.0,0.0,,ilk,na,iNna,589028,high,train,iNna,yes,,1.0,1.0,0.0,,xNna,no
1745,ip-v,ipv,p-v,ipv,,,,,0.0,ip,v,ipv,589028,high,train,ipv,yes,,,,,0.0,xlda,no
1746,ip-ta,ipda,p-t,ipda,,,,,1.0,ip,ta,ipda,589028,high,train,ipda,yes,,,,,1.0,ikda,no
1747,ip-na,imna,p-n,imna,,,1.0,,,ip,na,imna,589028,high,train,imna,yes,,,1.0,,,ikna,yes
1748,cak-a,caka,k-a,caka,,,,,0.0,cak,a,caka,589028,high,train,caka,yes,,,,,0.0,ilda,no
1749,cak-ta,cakda,k-t,cakda,,,,,1.0,cak,ta,cakda,589028,high,train,cakda,yes,,,,,1.0,ilna,yes
1750,cak-na,cakna,k-n,cakna,,,0.0,,,cak,na,cakna,589028,high,train,caNna,no,,,1.0,,,ilkv,yes
1751,cvk-v,cvkv,k-v,cvkv,,,,,0.0,cvk,v,cvkv,589028,high,train,cvkv,yes,,,,,0.0,ipna,yes
1752,cvk-na,cvNna,k-n,cvNna,,,1.0,,,cvk,na,cvNna,589028,high,train,cvNna,yes,,,1.0,,,ipv,yes
1753,cvk-ta,cvkda,k-t,cvkda,,,,,1.0,cvk,ta,cvkda,589028,high,train,cvkda,yes,,,,,1.0,ipda,no
1754,cvp-v,cvpv,p-v,cvpv,,,,,0.0,cvp,v,cvpv,589028,high,train,cvpv,yes,,,,,0.0,cakna,yes
1755,cvp-na,cvmna,p-n,cvmna,,,1.0,,,cvp,na,cvmna,589028,high,train,cvmna,yes,,,1.0,,,cakga,no
1756,cvp-ta,cvpda,p-t,cvpda,,,,,1.0,cvp,ta,cvpda,589028,high,train,cvpda,yes,,,,,1.0,cakda,no
1757,cik-v,cikv,k-v,cikv,,,,,0.0,cik,v,cikv,589028,nonce,train,cikv,yes,,,,,0.0,cvkna,yes
1758,cik-na,ciNna,k-n,ciNna,,,1.0,,,cik,na,ciNna,589028,nonce,train,ciNna,yes,,,1.0,,,cvkda,no
1759,cik-ta,cikda,k-t,cikda,,,,,1.0,cik,ta,cikda,589028,nonce,train,cikda,yes,,,,,1.0,cvpna,yes
1760,cilk-na,ciNna,lk-n,ciNna,0.0,1.0,1.0,0.0,,cilk,na,ciNna,589028,nonce,train,ciNna,yes,1.0,1.0,1.0,0.0,,cvpv,yes
